-31.8409 -0.1170 0.0000 
-65.4148 -0.1348 0.0039 
-48.1487 -0.1021 0.0000 
-27.9175 -0.1185 0.0000 
-66.5196 -0.1133 0.0017 
-5.9025 -0.7127 0.0001 
-82.3952 -0.1176 0.0308 
-45.6179 -0.2250 0.0009 
-14.9042 -0.1278 0.0000 
-24.6465 -0.1289 0.0000 
-66.5955 -0.1309 0.0018 
-56.7154 -0.1690 0.0001 
-25.7337 -0.1386 0.0001 
-65.5699 -0.1301 0.0012 
-79.9331 -0.1281 0.0199 
-60.7688 -0.1056 0.0002 
-66.6962 -0.1235 0.0018 
-76.8693 -0.1954 0.0102 
-32.2662 -0.1137 0.0000 
-73.0340 -0.1537 0.0074 
-50.2348 -0.0931 0.0000 
-65.1836 -0.1969 0.0013 
-71.3883 -0.3915 0.0046 
-77.3524 -0.1095 0.0108 
-38.9954 -0.1310 0.0000 
-51.0180 -0.1803 0.0001 
-68.9048 -0.1230 0.0036 
-5.5708 -1.1991 0.0000 
-55.3575 -0.1026 0.0001 
-36.2259 -0.2895 0.0003 
-58.6222 -0.2755 0.0039 
-79.5308 -0.1495 0.0123 
-33.3554 -0.0124 0.0000 
-82.7481 -0.1147 0.0273 
-90.1051 -0.1020 0.0293 
-81.9168 -0.1171 0.0182 
