0.0763 0.0816 0.3731 0.1861 -1.1038 0.5578 -0.0813 1.0872 0.0453 0.0391 6.5330 3.5587 
0.0581 0.1023 0.3893 0.1925 -1.0683 0.5572 -0.1116 0.9334 0.0619 0.0296 6.4837 6.4636 
0.1020 0.0966 0.3743 0.1796 -0.6703 0.5933 -0.1516 1.1030 0.0636 0.0750 6.8400 6.2420 
0.0690 0.1123 0.3948 0.1842 -0.8799 0.4657 -0.1448 0.5141 0.0512 0.0308 4.4770 3.6000 
0.0780 0.1116 0.3923 0.1731 -0.9145 0.5761 -0.1282 1.2759 0.0485 0.0438 4.4090 5.2524 
0.1121 0.0700 0.3311 0.1743 -0.7293 0.5414 -0.1040 1.3986 0.0504 0.0710 5.2537 3.1168 
0.1327 0.0976 0.4534 0.1732 -0.8504 0.5171 -0.0381 1.5285 0.0639 0.0386 6.5440 2.8220 
0.1055 0.0841 0.4286 0.1996 -0.7492 0.4855 -0.1236 1.4424 0.0702 0.0526 4.5845 4.9951 
0.0685 0.1132 0.4079 0.1875 -1.0358 0.5152 -0.0604 1.4130 0.0604 0.0403 3.9728 0.4319 
0.1121 0.0814 0.4068 0.1520 -0.8503 0.4353 -0.1166 1.4583 0.0721 0.0163 7.8865 3.0663 
0.0892 0.1098 0.3999 0.1788 -1.1447 0.4728 -0.1016 0.8149 0.0673 0.0259 6.4667 3.1863 
0.1092 0.1144 0.3964 0.1724 -0.7722 0.5510 -0.0854 0.6405 0.0554 0.0391 5.5332 7.8032 
0.0546 0.0962 0.4840 0.1830 -0.9090 0.5819 -0.0841 0.8623 0.0641 0.0421 5.9433 1.5771 
0.0948 0.1017 0.4209 0.1623 -0.8380 0.5429 -0.1413 0.8676 0.0845 0.0418 6.7504 5.6596 
0.0750 0.1261 0.4224 0.1965 -0.8657 0.4240 -0.0405 1.6332 0.0681 0.0439 6.6338 2.2288 
0.0720 0.1129 0.4127 0.1689 -0.7905 0.4739 -0.0699 1.2912 0.0539 0.0385 5.6735 1.8192 
0.1431 0.0865 0.4435 0.1722 -0.9125 0.5590 -0.1560 1.4434 0.0648 0.0318 6.9921 4.7199 
0.0935 0.1001 0.4046 0.1846 -0.4434 0.5063 -0.1131 1.1432 0.0831 0.0475 5.5632 6.5147 
0.0747 0.0804 0.3651 0.1843 -0.9767 0.6000 -0.1163 1.3455 0.0475 0.0491 6.9529 4.5442 
0.0728 0.0998 0.3635 0.1886 -0.9729 0.5775 -0.0754 1.2632 0.0448 0.0411 5.3092 3.3930 
0.1512 0.0653 0.4686 0.1481 -0.7218 0.5588 -0.1186 1.4151 0.0776 0.0464 6.6736 2.3508 
0.0696 0.1278 0.4080 0.1857 -0.7582 0.5591 -0.1281 1.8900 0.0763 0.0581 4.9380 6.9821 
0.0756 0.1111 0.3811 0.1608 -0.8397 0.4874 -0.0846 0.7198 0.0554 0.0408 6.4752 2.2743 
0.0837 0.0778 0.3798 0.1900 -1.0870 0.5955 -0.0808 1.3108 0.0349 0.0357 7.3940 3.1568 
0.1076 0.1083 0.4555 0.1560 -0.8310 0.5589 -0.1143 0.4776 0.0656 0.0432 5.5478 3.3716 
0.0797 0.0873 0.4229 0.1736 -1.1041 0.5169 -0.1117 1.2648 0.0421 0.0400 4.7134 1.9570 
0.0937 0.0869 0.4539 0.1538 -0.7760 0.5444 -0.1012 1.3130 0.0751 0.0253 7.2215 5.0470 
0.0670 0.0880 0.4012 0.1857 -0.9537 0.5821 -0.1484 1.4420 0.0534 0.0365 5.1260 1.8795 
0.0704 0.0983 0.3336 0.1739 -0.9194 0.5745 -0.1071 0.7108 0.0413 0.0522 4.6268 5.7587 
0.1038 0.0907 0.3802 0.1983 -0.9124 0.5509 -0.1029 1.1724 0.0659 0.0449 2.4049 4.1990 
0.0844 0.1209 0.2901 0.1543 -0.6807 0.5937 -0.0642 0.2478 0.0318 0.0350 5.1901 1.9441 
0.1204 0.0996 0.4183 0.1673 -0.8834 0.5930 -0.0916 1.3208 0.0779 0.0385 6.9005 1.7864 
0.0931 0.0974 0.4008 0.1972 -0.8579 0.5243 -0.1128 1.2862 0.0469 0.0563 5.3311 3.9224 
0.0561 0.1057 0.4425 0.1643 -1.0779 0.5707 -0.1025 1.1350 0.0705 0.0459 6.7751 3.7476 
0.0943 0.1024 0.4525 0.1668 -0.8736 0.4887 -0.0900 0.9481 0.0508 0.0355 6.8765 2.1480 
0.0678 0.1010 0.4232 0.1883 -0.9168 0.5639 -0.0711 1.0936 0.0634 0.0276 6.1100 2.0724 
