0.8348 -0.3715 
0.0163 1.2908 
0.0000 1.4766 
0.6333 -0.0381 
0.0498 1.1352 
0.4447 0.2137 
0.8321 -0.3091 
0.8245 -0.1895 
0.2227 0.7546 
0.6485 -0.1550 
0.8383 -0.4112 
0.8267 -0.2100 
0.2420 0.6401 
0.8420 -0.4300 
0.1933 0.9616 
0.6197 0.1524 
0.4125 0.5418 
0.8230 -0.1705 
0.0382 1.1927 
0.6251 0.0552 
0.4189 0.4461 
0.8514 -0.4777 
0.8287 -0.2379 
0.6330 -0.0162 
0.2008 0.9202 
0.0156 1.2996 
0.2200 0.7606 
0.8322 -0.3363 
0.4098 0.5768 
0.6387 -0.0950 
0.2252 0.7417 
0.0350 1.2089 
0.8494 -0.4738 
0.0156 1.3118 
0.0701 1.0758 
0.0356 1.1950 
0.0000 1.4375 
0.0083 1.3553 
0.8474 -0.4703 
0.0000 1.4727 
0.4317 0.3164 
0.6225 0.1199 
0.0297 1.2301 
0.2194 0.7673 
0.6185 0.1873 
0.6315 -0.0108 
0.2168 0.7730 
0.8295 -0.2775 
0.2531 0.5938 
0.6373 -0.0562 
0.0794 1.0630 
0.0613 1.1047 
0.0820 1.0559 
0.0760 1.0690 
0.2167 0.7870 
0.2496 0.6049 
0.4520 0.1955 
0.6331 -0.0276 
0.2297 0.6941 
0.0476 1.1429 
0.4195 0.4399 
0.8367 -0.3931 
0.0244 1.2435 
0.4164 0.4746 
0.6229 0.1179 
0.4388 0.2617 
0.2002 0.9243 
0.8292 -0.2729 
0.2612 0.5876 
0.0403 1.1596 
0.4248 0.3797 
0.4279 0.3392 
0.4240 0.3983 
0.4107 0.5563 
0.0942 1.0527 
0.1915 0.9674 
0.4340 0.3072 
0.0127 1.3451 
0.6435 -0.1409 
0.2262 0.7233 
0.1885 1.0125 
0.4396 0.2606 
0.2130 0.8182 
0.4161 0.4825 
0.2013 0.9093 
0.2117 0.8243 
0.2298 0.6908 
0.6294 0.0416 
0.0485 1.1363 
0.1954 0.9609 
0.6243 0.0869 
0.6416 -0.1217 
0.4174 0.4636 
0.2393 0.6422 
0.1849 1.0190 
0.1843 1.0275 
0.4484 0.1959 
0.2073 0.8479 
0.2449 0.6063 
0.0572 1.1109 
